Date,close,high,low,open,volume
1997-03-11,1500.0,1500.0,1500.0,1500.0,0
1997-03-12,1500.0,1500.0,1500.0,1500.0,0
1997-03-13,1500.0,1500.0,1500.0,1500.0,0
1997-03-14,1500.0,1500.0,1500.0,1500.0,0
1997-03-17,1500.0,1500.0,1500.0,1500.0,0
1997-03-18,1500.0,1500.0,1500.0,1500.0,0
1997-03-19,1500.0,1500.0,1500.0,1500.0,0
1997-03-20,1500.0,1500.0,1500.0,1500.0,0
1997-03-21,1500.0,1500.0,1500.0,1500.0,0
1997-03-24,1500.0,1500.0,1500.0,1500.0,0
1997-03-25,1500.0,1500.0,1500.0,1500.0,0
1997-03-26,1500.0,1500.0,1500.0,1500.0,0
1997-03-27,1500.0,1500.0,1500.0,1500.0,0
1997-03-31,1500.0,1500.0,1500.0,1500.0,0
1997-04-01,1500.0,1500.0,1500.0,1500.0,0
1997-04-02,1500.0,1500.0,1500.0,1500.0,0
1997-04-03,1500.0,1500.0,1500.0,1500.0,0
1997-04-04,1500.0,1500.0,1500.0,1500.0,0
1997-04-07,1500.0,1500.0,1500.0,1500.0,0
1997-04-08,1500.0,1500.0,1500.0,1500.0,0
1997-04-09,1500.0,1500.0,1500.0,1500.0,0
1997-04-10,1500.0,1500.0,1500.0,1500.0,0
1997-04-11,1500.0,1500.0,1500.0,1500.0,0
1997-04-14,1500.0,1500.0,1500.0,1500.0,0
1997-04-15,1500.0,1500.0,1500.0,1500.0,0
1997-04-16,1500.0,1500.0,1500.0,1500.0,0
1997-04-17,1500.0,1500.0,1500.0,1500.0,0
1997-04-18,1500.0,1500.0,1500.0,1500.0,0
1997-04-21,1500.0,1500.0,1500.0,1500.0,0
1997-04-22,1500.0,1500.0,1500.0,1500.0,0
1997-04-23,1500.0,1500.0,1500.0,1500.0,0
1997-04-24,1500.0,1500.0,1500.0,1500.0,0
1997-04-25,1500.0,1500.0,1500.0,1500.0,0
1997-04-28,1500.0,1500.0,1500.0,1500.0,0
1997-04-29,1500.0,1500.0,1500.0,1500.0,0
1997-04-30,1500.0,1500.0,1500.0,1500.0,0
1997-05-01,1500.0,1500.0,1500.0,1500.0,0
1997-05-02,1500.0,1500.0,1500.0,1500.0,0
1997-05-05,1500.0,1500.0,1500.0,1500.0,0
1997-05-06,1500.0,1500.0,1500.0,1500.0,0
1997-05-07,1500.0,1500.0,1500.0,1500.0,0
1997-05-08,1500.0,1500.0,1500.0,1500.0,0
1997-05-09,1500.0,1500.0,1500.0,1500.0,0
1997-05-12,1500.0,1500.0,1500.0,1500.0,0
1997-05-13,1500.0,1500.0,1500.0,1500.0,0
1997-05-14,1500.0,1500.0,1500.0,1500.0,0
1997-05-15,1500.0,1500.0,1500.0,1500.0,0
1997-05-16,1500.0,1500.0,1500.0,1500.0,0
1997-05-19,1500.0,1500.0,1500.0,1500.0,0
1997-05-20,1500.0,1500.0,1500.0,1500.0,0
1997-05-21,1500.0,1500.0,1500.0,1500.0,0
1997-05-22,1500.0,1500.0,1500.0,1500.0,0
1997-05-23,1500.0,1500.0,1500.0,1500.0,0
1997-05-27,1500.0,1500.0,1500.0,1500.0,0
1997-05-28,1500.0,1500.0,1500.0,1500.0,0
1997-05-29,1500.0,1500.0,1500.0,1500.0,0
1997-05-30,1500.0,1500.0,1500.0,1500.0,0
1997-06-02,1500.0,1500.0,1500.0,1500.0,0
1997-06-03,1500.0,1500.0,1500.0,1500.0,0
1997-06-04,1500.0,1500.0,1500.0,1500.0,0
1997-06-05,1500.0,1500.0,1500.0,1500.0,0
1997-06-06,1500.0,1500.0,1500.0,1500.0,0
1997-06-09,1500.0,1500.0,1500.0,1500.0,0
1997-06-10,1500.0,1500.0,1500.0,1500.0,0
1997-06-11,1500.0,1500.0,1500.0,1500.0,0
1997-06-12,1500.0,1500.0,1500.0,1500.0,0
1997-06-13,1500.0,1500.0,1500.0,1500.0,0
1997-06-16,1500.0,1500.0,1500.0,1500.0,0
1997-06-17,1500.0,1500.0,1500.0,1500.0,0
1997-06-18,1500.0,1500.0,1500.0,1500.0,0
1997-06-19,1500.0,1500.0,1500.0,1500.0,0
1997-06-20,1500.0,1500.0,1500.0,1500.0,0
1997-06-23,1500.0,1500.0,1500.0,1500.0,0
1997-06-24,1500.0,1500.0,1500.0,1500.0,0
1997-06-25,1500.0,1500.0,1500.0,1500.0,0
1997-06-26,1500.0,1500.0,1500.0,1500.0,0
1997-06-27,1500.0,1500.0,1500.0,1500.0,0
1997-06-30,1500.0,1500.0,1500.0,1500.0,0
1997-07-01,1500.0,1500.0,1500.0,1500.0,0
1997-07-02,1500.0,1500.0,1500.0,1500.0,0
1997-07-03,1500.0,1500.0,1500.0,1500.0,0
1997-07-07,1500.0,1500.0,1500.0,1500.0,0
1997-07-08,1500.0,1500.0,1500.0,1500.0,0
1997-07-09,1500.0,1500.0,1500.0,1500.0,0
1997-07-10,1500.0,1500.0,1500.0,1500.0,0
1997-07-11,1500.0,1500.0,1500.0,1500.0,0
1997-07-14,1500.0,1500.0,1500.0,1500.0,0
1997-07-15,1500.0,1500.0,1500.0,1500.0,0
1997-07-16,1500.0,1500.0,1500.0,1500.0,0
1997-07-17,1500.0,1500.0,1500.0,1500.0,0
1997-07-18,1500.0,1500.0,1500.0,1500.0,0
1997-07-21,1500.0,1500.0,1500.0,1500.0,0
1997-07-22,1500.0,1500.0,1500.0,1500.0,0
1997-07-23,1500.0,1500.0,1500.0,1500.0,0
1997-07-24,1500.0,1500.0,1500.0,1500.0,0
1997-07-25,1500.0,1500.0,1500.0,1500.0,0
1997-07-28,1500.0,1500.0,1500.0,1500.0,0
1997-07-29,1500.0,1500.0,1500.0,1500.0,0
1997-07-30,1500.0,1500.0,1500.0,1500.0,0
1997-07-31,1500.0,1500.0,1500.0,1500.0,0
1997-08-01,1500.0,1500.0,1500.0,1500.0,0
1997-08-04,1500.0,1500.0,1500.0,1500.0,0
1997-08-05,1500.0,1500.0,1500.0,1500.0,0
1997-08-06,1500.0,1500.0,1500.0,1500.0,0
1997-08-07,1500.0,1500.0,1500.0,1500.0,0
1997-08-08,1500.0,1500.0,1500.0,1500.0,0
1997-08-11,1500.0,1500.0,1500.0,1500.0,0
1997-08-12,1500.0,1500.0,1500.0,1500.0,0
1997-08-13,1500.0,1500.0,1500.0,1500.0,0
1997-08-14,1500.0,1500.0,1500.0,1500.0,0
1997-08-15,1500.0,1500.0,1500.0,1500.0,0
1997-08-18,1500.0,1500.0,1500.0,1500.0,0
1997-08-19,1500.0,1500.0,1500.0,1500.0,0
1997-08-20,1500.0,1500.0,1500.0,1500.0,0
1997-08-21,1500.0,1500.0,1500.0,1500.0,0
1997-08-22,1500.0,1500.0,1500.0,1500.0,0
1997-08-25,1500.0,1500.0,1500.0,1500.0,0
1997-08-26,1500.0,1500.0,1500.0,1500.0,0
1997-08-27,1500.0,1500.0,1500.0,1500.0,0
1997-08-28,1500.0,1500.0,1500.0,1500.0,0
1997-08-29,1500.0,1500.0,1500.0,1500.0,0
1997-09-02,1500.0,1500.0,1500.0,1500.0,0
1997-09-03,1500.0,1500.0,1500.0,1500.0,0
1997-09-04,1500.0,1500.0,1500.0,1500.0,0
1997-09-05,1500.0,1500.0,1500.0,1500.0,0
1997-09-08,1500.0,1500.0,1500.0,1500.0,0
1997-09-09,1500.0,1500.0,1500.0,1500.0,0
1997-09-10,1500.0,1500.0,1500.0,1500.0,0
1997-09-11,1500.0,1500.0,1500.0,1500.0,0
1997-09-12,1500.0,1500.0,1500.0,1500.0,0
1997-09-15,1500.0,1500.0,1500.0,1500.0,0
1997-09-16,1500.0,1500.0,1500.0,1500.0,0
1997-09-17,1500.0,1500.0,1500.0,1500.0,0
1997-09-18,1500.0,1500.0,1500.0,1500.0,0
1997-09-19,1500.0,1500.0,1500.0,1500.0,0
1997-09-22,1500.0,1500.0,1500.0,1500.0,0
1997-09-23,1500.0,1500.0,1500.0,1500.0,0
1997-09-24,1500.0,1500.0,1500.0,1500.0,0
1997-09-25,1500.0,1500.0,1500.0,1500.0,0
1997-09-26,1500.0,1500.0,1500.0,1500.0,0
1997-09-29,1500.0,1500.0,1500.0,1500.0,0
1997-09-30,1500.0,1500.0,1500.0,1500.0,0
1997-10-01,1500.0,1500.0,1500.0,1500.0,0
1997-10-02,1500.0,1500.0,1500.0,1500.0,0
1997-10-03,1500.0,1500.0,1500.0,1500.0,0
1997-10-06,1500.0,1500.0,1500.0,1500.0,0
1997-10-07,1500.0,1500.0,1500.0,1500.0,0
1997-10-08,1500.0,1500.0,1500.0,1500.0,0
1997-10-09,1500.0,1500.0,1500.0,1500.0,0
1997-10-10,1500.0,1500.0,1500.0,1500.0,0
1997-10-13,1500.0,1500.0,1500.0,1500.0,0
1997-10-14,1500.0,1500.0,1500.0,1500.0,0
1997-10-15,1500.0,1500.0,1500.0,1500.0,0
1997-10-16,1500.0,1500.0,1500.0,1500.0,0
1997-10-17,1500.0,1500.0,1500.0,1500.0,0
1997-10-20,1500.0,1500.0,1500.0,1500.0,0
1997-10-21,1500.0,1500.0,1500.0,1500.0,0
1997-10-22,1500.0,1500.0,1500.0,1500.0,0
1997-10-23,1500.0,1500.0,1500.0,1500.0,0
1997-10-24,1500.0,1500.0,1500.0,1500.0,0
1997-10-27,1500.0,1500.0,1500.0,1500.0,0
1997-10-28,1500.0,1500.0,1500.0,1500.0,0
1997-10-29,1500.0,1500.0,1500.0,1500.0,0
1997-10-30,1500.0,1500.0,1500.0,1500.0,0
1997-10-31,1500.0,1500.0,1500.0,1500.0,0
1997-11-03,1500.0,1500.0,1500.0,1500.0,0
1997-11-04,1500.0,1500.0,1500.0,1500.0,0
1997-11-05,1500.0,1500.0,1500.0,1500.0,0
1997-11-06,1500.0,1500.0,1500.0,1500.0,0
1997-11-07,1500.0,1500.0,1500.0,1500.0,0
1997-11-10,1500.0,1500.0,1500.0,1500.0,0
1997-11-11,1500.0,1500.0,1500.0,1500.0,0
1997-11-12,1500.0,1500.0,1500.0,1500.0,0
1997-11-13,1500.0,1500.0,1500.0,1500.0,0
1997-11-14,1500.0,1500.0,1500.0,1500.0,0
1997-11-17,1500.0,1500.0,1500.0,1500.0,0
1997-11-18,1500.0,1500.0,1500.0,1500.0,0
1997-11-19,1500.0,1500.0,1500.0,1500.0,0
1997-11-20,1500.0,1500.0,1500.0,1500.0,0
1997-11-21,1500.0,1500.0,1500.0,1500.0,0
1997-11-24,1500.0,1500.0,1500.0,1500.0,0
1997-11-25,1500.0,1500.0,1500.0,1500.0,0
1997-11-26,1500.0,1500.0,1500.0,1500.0,0
1997-11-28,1500.0,1500.0,1500.0,1500.0,0
1997-12-01,1500.0,1500.0,1500.0,1500.0,0
1997-12-02,1500.0,1500.0,1500.0,1500.0,0
1997-12-03,1500.0,1500.0,1500.0,1500.0,0
1997-12-04,1500.0,1500.0,1500.0,1500.0,0
1997-12-05,1500.0,1500.0,1500.0,1500.0,0
1997-12-08,1500.0,1500.0,1500.0,1500.0,0
1997-12-09,1500.0,1500.0,1500.0,1500.0,0
1997-12-10,1500.0,1500.0,1500.0,1500.0,0
1997-12-11,1500.0,1500.0,1500.0,1500.0,0
1997-12-12,1500.0,1500.0,1500.0,1500.0,0
1997-12-15,1500.0,1500.0,1500.0,1500.0,0
1997-12-16,1500.0,1500.0,1500.0,1500.0,0
1997-12-17,1500.0,1500.0,1500.0,1500.0,0
1997-12-18,1500.0,1500.0,1500.0,1500.0,0
1997-12-19,1500.0,1500.0,1500.0,1500.0,0
1997-12-22,1500.0,1500.0,1500.0,1500.0,0
1997-12-23,1500.0,1500.0,1500.0,1500.0,0
1997-12-24,1500.0,1500.0,1500.0,1500.0,0
1997-12-26,1500.0,1500.0,1500.0,1500.0,0
1997-12-29,1500.0,1500.0,1500.0,1500.0,0
1997-12-30,1500.0,1500.0,1500.0,1500.0,0
1997-12-31,1500.0,1500.0,1500.0,1500.0,0
1998-01-02,1500.0,1500.0,1500.0,1500.0,0
1998-01-05,1500.0,1500.0,1500.0,1500.0,0
1998-01-06,1500.0,1500.0,1500.0,1500.0,0
1998-01-07,1500.0,1500.0,1500.0,1500.0,0
1998-01-08,1500.0,1500.0,1500.0,1500.0,0
1998-01-09,1500.0,1500.0,1500.0,1500.0,0
1998-01-12,1500.0,1500.0,1500.0,1500.0,0
1998-01-13,1500.0,1500.0,1500.0,1500.0,0
1998-01-14,1500.0,1500.0,1500.0,1500.0,0
1998-01-15,1500.0,1500.0,1500.0,1500.0,0
1998-01-16,1500.0,1500.0,1500.0,1500.0,0
1998-01-20,1500.0,1500.0,1500.0,1500.0,0
1998-01-21,1500.0,1500.0,1500.0,1500.0,0
1998-01-22,1500.0,1500.0,1500.0,1500.0,0
1998-01-23,1500.0,1500.0,1500.0,1500.0,0
1998-01-26,1500.0,1500.0,1500.0,1500.0,0
1998-01-27,1500.0,1500.0,1500.0,1500.0,0
1998-01-28,1500.0,1500.0,1500.0,1500.0,0
1998-01-29,1500.0,1500.0,1500.0,1500.0,0
1998-01-30,1500.0,1500.0,1500.0,1500.0,0
1998-02-02,1500.0,1500.0,1500.0,1500.0,0
1998-02-03,1500.0,1500.0,1500.0,1500.0,0
1998-02-04,1500.0,1500.0,1500.0,1500.0,0
1998-02-05,1500.0,1500.0,1500.0,1500.0,0
1998-02-06,1500.0,1500.0,1500.0,1500.0,0
1998-02-09,1500.0,1500.0,1500.0,1500.0,0
1998-02-10,1500.0,1500.0,1500.0,1500.0,0
1998-02-11,1500.0,1500.0,1500.0,1500.0,0
1998-02-12,1500.0,1500.0,1500.0,1500.0,0
1998-02-13,1500.0,1500.0,1500.0,1500.0,0
1998-02-17,1500.0,1500.0,1500.0,1500.0,0
1998-02-18,1500.0,1500.0,1500.0,1500.0,0
1998-02-19,1500.0,1500.0,1500.0,1500.0,0
1998-02-20,1500.0,1500.0,1500.0,1500.0,0
1998-02-23,1500.0,1500.0,1500.0,1500.0,0
1998-02-24,1500.0,1500.0,1500.0,1500.0,0
1998-02-25,1500.0,1500.0,1500.0,1500.0,0
1998-02-26,1500.0,1500.0,1500.0,1500.0,0
1998-02-27,1500.0,1500.0,1500.0,1500.0,0
1998-03-02,1500.0,1500.0,1500.0,1500.0,0
1998-03-03,1500.0,1500.0,1500.0,1500.0,0
1998-03-04,1500.0,1500.0,1500.0,1500.0,0
1998-03-05,1500.0,1500.0,1500.0,1500.0,0
1998-03-06,1500.0,1500.0,1500.0,1500.0,0
1998-03-09,1500.0,1500.0,1500.0,1500.0,0
1998-03-10,1500.0,1500.0,1500.0,1500.0,0
1998-03-11,1500.0,1500.0,1500.0,1500.0,0
1998-03-12,1500.0,1500.0,1500.0,1500.0,0
1998-03-13,1500.0,1500.0,1500.0,1500.0,0
1998-03-16,1500.0,1500.0,1500.0,1500.0,0
1998-03-17,1500.0,1500.0,1500.0,1500.0,0
1998-03-18,1500.0,1500.0,1500.0,1500.0,0
1998-03-19,1500.0,1500.0,1500.0,1500.0,0
1998-03-20,1500.0,1500.0,1500.0,1500.0,0
1998-03-23,1500.0,1500.0,1500.0,1500.0,0
1998-03-24,1500.0,1500.0,1500.0,1500.0,0
1998-03-25,1500.0,1500.0,1500.0,1500.0,0
1998-03-26,1500.0,1500.0,1500.0,1500.0,0
1998-03-27,1500.0,1500.0,1500.0,1500.0,0
1998-03-30,1500.0,1500.0,1500.0,1500.0,0
1998-03-31,1500.0,1500.0,1500.0,1500.0,0
1998-04-01,1500.0,1500.0,1500.0,1500.0,0
1998-04-02,1500.0,1500.0,1500.0,1500.0,0
1998-04-03,1500.0,1500.0,1500.0,1500.0,0
1998-04-06,1500.0,1500.0,1500.0,1500.0,0
1998-04-07,1500.0,1500.0,1500.0,1500.0,0
1998-04-08,1500.0,1500.0,1500.0,1500.0,0
1998-04-09,1500.0,1500.0,1500.0,1500.0,0
1998-04-13,1500.0,1500.0,1500.0,1500.0,0
1998-04-14,1500.0,1500.0,1500.0,1500.0,0
1998-04-15,1500.0,1500.0,1500.0,1500.0,0
1998-04-16,1500.0,1500.0,1500.0,1500.0,0
1998-04-17,1500.0,1500.0,1500.0,1500.0,0
1998-04-20,1500.0,1500.0,1500.0,1500.0,0
1998-04-21,1500.0,1500.0,1500.0,1500.0,0
1998-04-22,1500.0,1500.0,1500.0,1500.0,0
1998-04-23,1500.0,1500.0,1500.0,1500.0,0
1998-04-24,1500.0,1500.0,1500.0,1500.0,0
1998-04-27,1500.0,1500.0,1500.0,1500.0,0
1998-04-28,1500.0,1500.0,1500.0,1500.0,0
1998-04-29,1500.0,1500.0,1500.0,1500.0,0
1998-04-30,1500.0,1500.0,1500.0,1500.0,0
1998-05-01,1500.0,1500.0,1500.0,1500.0,0
1998-05-04,1500.0,1500.0,1500.0,1500.0,0
1998-05-05,1500.0,1500.0,1500.0,1500.0,0
1998-05-06,1500.0,1500.0,1500.0,1500.0,0
1998-05-07,1500.0,1500.0,1500.0,1500.0,0
1998-05-08,1500.0,1500.0,1500.0,1500.0,0
1998-05-11,1500.0,1500.0,1500.0,1500.0,0
1998-05-12,1500.0,1500.0,1500.0,1500.0,0
1998-05-13,1500.0,1500.0,1500.0,1500.0,0
1998-05-14,1500.0,1500.0,1500.0,1500.0,0
1998-05-15,1500.0,1500.0,1500.0,1500.0,0
1998-05-18,1500.0,1500.0,1500.0,1500.0,0
1998-05-19,1500.0,1500.0,1500.0,1500.0,0
1998-05-20,1500.0,1500.0,1500.0,1500.0,0
1998-05-21,1500.0,1500.0,1500.0,1500.0,0
1998-05-22,1500.0,1500.0,1500.0,1500.0,0
1998-05-26,1500.0,1500.0,1500.0,1500.0,0
1998-05-27,1500.0,1500.0,1500.0,1500.0,0
1998-05-28,1500.0,1500.0,1500.0,1500.0,0
1998-05-29,1500.0,1500.0,1500.0,1500.0,0
1998-06-01,1500.0,1500.0,1500.0,1500.0,0
1998-06-02,1500.0,1500.0,1500.0,1500.0,0
1998-06-03,1500.0,1500.0,1500.0,1500.0,0
1998-06-04,1500.0,1500.0,1500.0,1500.0,0
1998-06-05,1500.0,1500.0,1500.0,1500.0,0
1998-06-08,1500.0,1500.0,1500.0,1500.0,0
1998-06-09,1500.0,1500.0,1500.0,1500.0,0
1998-06-10,1500.0,1500.0,1500.0,1500.0,0
1998-06-11,1500.0,1500.0,1500.0,1500.0,0
1998-06-12,1500.0,1500.0,1500.0,1500.0,0
1998-06-15,1500.0,1500.0,1500.0,1500.0,0
1998-06-16,1500.0,1500.0,1500.0,1500.0,0
1998-06-17,1500.0,1500.0,1500.0,1500.0,0
1998-06-18,1500.0,1500.0,1500.0,1500.0,0
1998-06-19,1500.0,1500.0,1500.0,1500.0,0
1998-06-22,1500.0,1500.0,1500.0,1500.0,0
1998-06-23,1500.0,1500.0,1500.0,1500.0,0
1998-06-24,1500.0,1500.0,1500.0,1500.0,0
1998-06-25,1500.0,1500.0,1500.0,1500.0,0
1998-06-26,1500.0,1500.0,1500.0,1500.0,0
1998-06-29,1500.0,1500.0,1500.0,1500.0,0
1998-06-30,1500.0,1500.0,1500.0,1500.0,0
1998-07-01,1500.0,1500.0,1500.0,1500.0,0
1998-07-02,1500.0,1500.0,1500.0,1500.0,0
1998-07-06,1500.0,1500.0,1500.0,1500.0,0
1998-07-07,1500.0,1500.0,1500.0,1500.0,0
1998-07-08,1500.0,1500.0,1500.0,1500.0,0
1998-07-09,1500.0,1500.0,1500.0,1500.0,0
1998-07-10,1500.0,1500.0,1500.0,1500.0,0
1998-07-13,1500.0,1500.0,1500.0,1500.0,0
1998-07-14,1500.0,1500.0,1500.0,1500.0,0
1998-07-15,1500.0,1500.0,1500.0,1500.0,0
1998-07-16,1500.0,1500.0,1500.0,1500.0,0
1998-07-17,1500.0,1500.0,1500.0,1500.0,0
1998-07-20,1500.0,1500.0,1500.0,1500.0,0
1998-07-21,1500.0,1500.0,1500.0,1500.0,0
1998-07-22,1500.0,1500.0,1500.0,1500.0,0
1998-07-23,1500.0,1500.0,1500.0,1500.0,0
1998-07-24,1500.0,1500.0,1500.0,1500.0,0
1998-07-27,1500.0,1500.0,1500.0,1500.0,0
1998-07-28,1500.0,1500.0,1500.0,1500.0,0
1998-07-29,1500.0,1500.0,1500.0,1500.0,0
1998-07-30,1500.0,1500.0,1500.0,1500.0,0
1998-07-31,1500.0,1500.0,1500.0,1500.0,0
1998-08-03,1500.0,1500.0,1500.0,1500.0,0
1998-08-04,1500.0,1500.0,1500.0,1500.0,0
1998-08-05,1500.0,1500.0,1500.0,1500.0,0
1998-08-06,1500.0,1500.0,1500.0,1500.0,0
1998-08-07,1500.0,1500.0,1500.0,1500.0,0
1998-08-10,1500.0,1500.0,1500.0,1500.0,0
1998-08-11,1500.0,1500.0,1500.0,1500.0,0
1998-08-12,1500.0,1500.0,1500.0,1500.0,0
1998-08-13,1500.0,1500.0,1500.0,1500.0,0
1998-08-14,1500.0,1500.0,1500.0,1500.0,0
1998-08-17,1500.0,1500.0,1500.0,1500.0,0
1998-08-18,1500.0,1500.0,1500.0,1500.0,0
1998-08-19,1500.0,1500.0,1500.0,1500.0,0
1998-08-20,1500.0,1500.0,1500.0,1500.0,0
1998-08-21,1500.0,1500.0,1500.0,1500.0,0
1998-08-24,1500.0,1500.0,1500.0,1500.0,0
1998-08-25,1500.0,1500.0,1500.0,1500.0,0
1998-08-26,1500.0,1500.0,1500.0,1500.0,0
1998-08-27,1500.0,1500.0,1500.0,1500.0,0
1998-08-28,1500.0,1500.0,1500.0,1500.0,0
1998-08-31,1500.0,1500.0,1500.0,1500.0,0
1998-09-01,1500.0,1500.0,1500.0,1500.0,0
1998-09-02,1500.0,1500.0,1500.0,1500.0,0
1998-09-03,1500.0,1500.0,1500.0,1500.0,0
1998-09-04,1500.0,1500.0,1500.0,1500.0,0
1998-09-08,1500.0,1500.0,1500.0,1500.0,0
1998-09-09,1500.0,1500.0,1500.0,1500.0,0
1998-09-10,1500.0,1500.0,1500.0,1500.0,0
1998-09-11,1500.0,1500.0,1500.0,1500.0,0
1998-09-14,1500.0,1500.0,1500.0,1500.0,0
1998-09-15,1500.0,1500.0,1500.0,1500.0,0
1998-09-16,1500.0,1500.0,1500.0,1500.0,0
1998-09-17,1500.0,1500.0,1500.0,1500.0,0
1998-09-18,1500.0,1500.0,1500.0,1500.0,0
1998-09-21,1500.0,1500.0,1500.0,1500.0,0
1998-09-22,1500.0,1500.0,1500.0,1500.0,0
1998-09-23,1500.0,1500.0,1500.0,1500.0,0
1998-09-24,1500.0,1500.0,1500.0,1500.0,0
1998-09-25,1500.0,1500.0,1500.0,1500.0,0
1998-09-28,1500.0,1500.0,1500.0,1500.0,0
1998-09-29,1500.0,1500.0,1500.0,1500.0,0
1998-09-30,1500.0,1500.0,1500.0,1500.0,0
1998-10-01,1500.0,1500.0,1500.0,1500.0,0
1998-10-02,1500.0,1500.0,1500.0,1500.0,0
1998-10-05,1500.0,1500.0,1500.0,1500.0,0
1998-10-06,1500.0,1500.0,1500.0,1500.0,0
1998-10-07,1500.0,1500.0,1500.0,1500.0,0
1998-10-08,1500.0,1500.0,1500.0,1500.0,0
1998-10-09,1500.0,1500.0,1500.0,1500.0,0
1998-10-12,1500.0,1500.0,1500.0,1500.0,0
1998-10-13,1500.0,1500.0,1500.0,1500.0,0
1998-10-14,1500.0,1500.0,1500.0,1500.0,0
1998-10-15,1500.0,1500.0,1500.0,1500.0,0
1998-10-16,1500.0,1500.0,1500.0,1500.0,0
1998-10-19,1500.0,1500.0,1500.0,1500.0,0
1998-10-20,1500.0,1500.0,1500.0,1500.0,0
1998-10-21,1500.0,1500.0,1500.0,1500.0,0
1998-10-22,1500.0,1500.0,1500.0,1500.0,0
1998-10-23,1500.0,1500.0,1500.0,1500.0,0
1998-10-26,1500.0,1500.0,1500.0,1500.0,0
1998-10-27,1500.0,1500.0,1500.0,1500.0,0
1998-10-28,1500.0,1500.0,1500.0,1500.0,0
1998-10-29,1500.0,1500.0,1500.0,1500.0,0
1998-10-30,1500.0,1500.0,1500.0,1500.0,0
1998-11-02,1500.0,1500.0,1500.0,1500.0,0
1998-11-03,1500.0,1500.0,1500.0,1500.0,0
1998-11-04,1500.0,1500.0,1500.0,1500.0,0
1998-11-05,1500.0,1500.0,1500.0,1500.0,0
1998-11-06,1500.0,1500.0,1500.0,1500.0,0
1998-11-09,1500.0,1500.0,1500.0,1500.0,0
1998-11-10,1500.0,1500.0,1500.0,1500.0,0
1998-11-11,1500.0,1500.0,1500.0,1500.0,0
1998-11-12,1500.0,1500.0,1500.0,1500.0,0
1998-11-13,1500.0,1500.0,1500.0,1500.0,0
1998-11-16,1500.0,1500.0,1500.0,1500.0,0
1998-11-17,1500.0,1500.0,1500.0,1500.0,0
1998-11-18,1500.0,1500.0,1500.0,1500.0,0
1998-11-19,1500.0,1500.0,1500.0,1500.0,0
1998-11-20,1500.0,1500.0,1500.0,1500.0,0
1998-11-23,1500.0,1500.0,1500.0,1500.0,0
1998-11-24,1500.0,1500.0,1500.0,1500.0,0
1998-11-25,1500.0,1500.0,1500.0,1500.0,0
1998-11-27,1500.0,1500.0,1500.0,1500.0,0
1998-11-30,1500.0,1500.0,1500.0,1500.0,0
1998-12-01,1500.0,1500.0,1500.0,1500.0,0
1998-12-02,1500.0,1500.0,1500.0,1500.0,0
1998-12-03,1500.0,1500.0,1500.0,1500.0,0
1998-12-04,1500.0,1500.0,1500.0,1500.0,0
1998-12-07,1500.0,1500.0,1500.0,1500.0,0
1998-12-08,1500.0,1500.0,1500.0,1500.0,0
1998-12-09,1500.0,1500.0,1500.0,1500.0,0
